from,to
Bill Atkinson,Jef Raskin
Bill Atkinson,Steve Jobs
Bill Atkinson,Susan Kare
Jef Raskin,Steve Jobs
Jef Raskin,Susan Kare
Steve Jobs,Susan Kare
Inspiration,MacPaint
Inspiration,QuickDraw
Inspiration,HyperCard
MacPaint,QuickDraw
MacPaint,HyperCard
QuickDraw,HyperCard
Inspiration,Bill Atkinson
Inspiration,Jef Raskin
Inspiration,Steve Jobs
Inspiration,Susan Kare
MacPaint,Bill Atkinson
MacPaint,Jef Raskin
MacPaint,Steve Jobs
MacPaint,Susan Kare
QuickDraw,Bill Atkinson
QuickDraw,Jef Raskin
QuickDraw,Steve Jobs
QuickDraw,Susan Kare
HyperCard,Bill Atkinson
HyperCard,Jef Raskin
HyperCard,Steve Jobs
HyperCard,Susan Kare
Burrell Smith,Andy Hertzfeld
Burrell Smith,Wendell Sander
Burrell Smith,Steve Wozniak
Andy Hertzfeld,Wendell Sander
Andy Hertzfeld,Steve Wozniak
Wendell Sander,Steve Wozniak
Origins,Personality
Origins,Hardware Design
Origins,Apple II
Personality,Hardware Design
Personality,Apple II
Hardware Design,Apple II
Origins,Burrell Smith
Origins,Andy Hertzfeld
Origins,Wendell Sander
Origins,Steve Wozniak
Personality,Burrell Smith
Personality,Andy Hertzfeld
Personality,Wendell Sander
Personality,Steve Wozniak
Hardware Design,Burrell Smith
Hardware Design,Andy Hertzfeld
Hardware Design,Wendell Sander
Hardware Design,Steve Wozniak
Apple II,Burrell Smith
Apple II,Andy Hertzfeld
Apple II,Wendell Sander
Apple II,Steve Wozniak
Andy Hertzfeld,Steve Wozniak
Andy Hertzfeld,Victor Bull
Steve Wozniak,Victor Bull
Apple II,Prototypes
Apple II,Printers
Prototypes,Printers
Apple II,Andy Hertzfeld
Apple II,Steve Wozniak
Apple II,Victor Bull
Prototypes,Andy Hertzfeld
Prototypes,Steve Wozniak
Prototypes,Victor Bull
Printers,Andy Hertzfeld
Printers,Steve Wozniak
Printers,Victor Bull
Burrell Smith,Bill Atkinson
Burrell Smith,Jef Raskin
Burrell Smith,Steve Wozniak
Bill Atkinson,Jef Raskin
Bill Atkinson,Steve Wozniak
Jef Raskin,Steve Wozniak
Hardware Design,Technical
Hardware Design,Apple II
Technical,Apple II
Hardware Design,Burrell Smith
Hardware Design,Bill Atkinson
Hardware Design,Jef Raskin
Hardware Design,Steve Wozniak
Apple II,Burrell Smith
