name,description,category
Andy Hertzfeld,Software,Person
Bill Atkinson,Software,Person
Burrell Smith,Hardware,Person
Jef Raskin,Manager,Person
Steve Jobs,Manager,Person
Steve Wozniak,Hardware,Person
Susan Kare,Design,Person
Victor Bull,External,Person
Wendell Sander,Hardware,Person
Inspiration,Concept,Topic
MacPaint,Product,Topic
QuickDraw,Technology,Topic
HyperCard,Product,Topic
Apple II,Product,Topic
Hardware Design,Task,Topic
Printers,Product,Topic
Origins,Concept,Topic
Personality,Concept,Topic
Prototypes,Concept,Topic
Technical,Concept,Topic
Tom Whitney,Manager,Person
Bob Bishop,Software,Person
Cliff Huston,Hardware,Person
Dick Huston,Software,Person
Management,Concept,Topic
Bud Tribble,Software,Person
Rod Holt,Hardware,Person
Joanna Hoffman,Marketing,Person
Brian Howard,Documentation,Person
Mike Scott,Manager,Person
Mike Markkula,Manager,Person
Apple Spirit,Concept,Topic
Buildings,Concept,Topic
